Video Details,HEVC
"VideoS13 (.mov, 16.58 s, 10.91 MB)",86.5479546969697
"VideoS14 (.mov, 258.69 s, 54.36 MB)",88.88587764102564
"VideoS15 (.mov, 100.12 s, 30.91 MB)",90.17091679074615
"videoS25 (.mov, 46.61 s, 16.71 MB)",81.79540261648745
"videoS1 (.mp4, 139.27 s, 53.09 MB)",85.4352200166225
"VideoS16 (.mp4, 59.99 s, 4.31 MB)",83.44068840400668
"VideoS17 (.mp4, 46.78 s, 3.31 MB)",86.39854514126712
"VideoS18 (.mp4, 8.50 s, 1.72 MB)",83.44511693725491
"videoS2 (.mp4, 14.84 s, 7.60 MB)",87.79649948509484
"videoS3 (.mp4, 111.18 s, 25.25 MB)",86.97120396112311
"videoS22 (.webm, 21.95 s, 22.40 MB)",72.62375219452888
"videoS23 (.webm, 30.08 s, 18.05 MB)",84.2560034893617
"videoS24 (.webm, 30.08 s, 17.94 MB)",84.91263594547873
"VideoS7 (.webm, 299.27 s, 30.20 MB)",88.56033583796791
"VideoS8 (.webm, 181.33 s, 20.24 MB)",86.59072922158883
"VideoS9 (.webm, 186.56 s, 23.40 MB)",89.57414106553344
"videoS19 (.mkv, 21.95 s, 81.65 MB)",72.14373979027356
"videoS20 (.mkv, 30.08 s, 28.28 MB)",84.86390621542553
"videoS21 (.mkv, 30.08 s, 28.09 MB)",85.5385128444149
"videoS4 (.mkv, 130.52 s, 40.62 MB)",80.18017340306905
"videoS6 (.mkv, 270.79 s, 38.80 MB)",85.79779861546757
"VideoS10 (.avi, 202.66 s, 10.49 MB)",82.05180477887464
"VideoS11 (.avi, 264.91 s, 35.72 MB)",88.27988084806142
"VideoS12 (.avi, 10.76 s, 3.05 MB)",85.9276238875
